year,month,image_count
2015,1,0
2015,2,0
2015,3,0
2015,4,0
2015,5,0
2015,6,0
2015,7,0
2015,8,0
2015,9,0
2015,10,0
2015,11,0
2015,12,2
2016,1,0
2016,2,0
2016,3,6
2016,4,6
2016,5,6
2016,6,6
2016,7,0
2016,8,6
2016,9,2
2016,10,6
2016,11,0
2016,12,6
2017,1,8
2017,2,4
2017,3,3
2017,4,3
2017,5,6
2017,6,2
2017,7,6
2017,8,4
2017,9,3
2017,10,5
2017,11,9
2017,12,6
2018,1,14
2018,2,8
2018,3,15
2018,4,7
2018,5,16
2018,6,5
2018,7,13
2018,8,17
2018,9,11
2018,10,3
2018,11,8
2018,12,15
2019,1,21
2019,2,15
2019,3,11
2019,4,14
2019,5,10
2019,6,7
2019,7,12
2019,8,10
2019,9,10
2019,10,16
2019,11,10
2019,12,9
2020,1,13
2020,2,12
2020,3,14
2020,4,17
2020,5,8
2020,6,12
2020,7,16
2020,8,7
2020,9,14
2020,10,13
2020,11,5
2020,12,12
2021,1,9
2021,2,9
2021,3,11
2021,4,7
2021,5,7
2021,6,8
2021,7,15
2021,8,6
2021,9,12
2021,10,13
2021,11,6
2021,12,9
2022,1,16
2022,2,15
2022,3,16
2022,4,4
2022,5,4
2022,6,9
2022,7,10
2022,8,7
2022,9,7
2022,10,9
2022,11,4
2022,12,19
2023,1,12
2023,2,11
2023,3,18
2023,4,12
2023,5,7
2023,6,13
2023,7,0
2023,8,11
2023,9,10
2023,10,6
2023,11,5
2023,12,17
2024,1,16
2024,2,15
2024,3,12
2024,4,10
2024,5,6
2024,6,6
2024,7,6
2024,8,18
2024,9,6
2024,10,0
2024,11,0
2024,12,0
